Time,Cores,Active
28500,medium,0
28500,large,2
28600,small,2
28600,medium,0
28600,large,2
28700,small,2
28700,medium,1
28700,large,2
28800,small,2
28800,medium,2
28800,large,2
28900,small,2
28900,medium,2
28900,large,2
29000,small,2
29000,medium,2
29000,large,2
29100,small,1
29100,medium,0
29100,large,3
29200,small,0
29200,medium,0
29200,large,0
29300,small,2
29300,medium,1
29300,large,2
29400,small,2
29400,medium,1
29400,large,2
29500,small,2
29500,medium,2
29500,large,3
29600,small,2
29600,medium,0
29600,large,2
29700,small,2
29700,medium,0
29700,large,2
29800,small,2
29800,medium,0
29800,large,2
29900,small,2
29900,medium,0
29900,large,2
30000,small,2
30000,medium,1
30000,large,2
30100,small,2
30100,medium,2
30100,large,2
30200,small,0
30200,medium,0
30200,large,0
30300,small,0
30300,medium,0
30300,large,0
30400,small,2
30400,medium,2
30400,large,2
30500,small,2
30500,medium,2
30500,large,2
30600,small,2
30600,medium,2
30600,large,2
30700,small,1
30700,medium,0
30700,large,3
30800,small,2
30800,medium,0
30800,large,3
30900,small,2
30900,medium,0
30900,large,3
31000,small,2
31000,medium,0
31000,large,3
31100,small,2
31100,medium,0
31100,large,3
31200,small,2
31200,medium,0
31200,large,3
31300,small,0
31300,medium,0
31300,large,0
31400,small,0
31400,medium,0
31400,large,0
31500,small,2
31500,medium,0
31500,large,3
31600,small,2
31600,medium,0
31600,large,3
31700,small,1
31700,medium,0
31700,large,3
31800,small,2
31800,medium,2
31800,large,2
31900,small,2
31900,medium,2
31900,large,2
32000,small,2
32000,medium,2
32000,large,2
32100,small,1
32100,medium,0
32100,large,3
32200,small,2
32200,medium,0
32200,large,3
32300,small,2
32300,medium,0
32300,large,3
32400,small,2
32400,medium,0
32400,large,3
32500,small,2
32500,medium,0
32500,large,3
32600,small,2
32600,medium,0
32600,large,3
32700,small,2
32700,medium,0
32700,large,3
32800,small,0
32800,medium,0
32800,large,0
32900,small,0
32900,medium,0
32900,large,0
33000,small,2
33000,medium,0
33000,large,3
33100,small,2
33100,medium,0
33100,large,3
33200,small,2
33200,medium,0
33200,large,3
33300,small,2
33300,medium,0
33300,large,3
33400,small,0
33400,medium,0
33400,large,0
33500,small,0
33500,medium,0
33500,large,0
33600,small,2
33600,medium,0
33600,large,3
33700,small,2
33700,medium,0
33700,large,3
33800,small,2
33800,medium,0
33800,large,3
33900,small,2
33900,medium,0
33900,large,3
34000,small,2
34000,medium,0
34000,large,3
34100,small,2
34100,medium,0
34100,large,3
34200,small,2
34200,medium,0
34200,large,3
34300,small,2
34300,medium,0
34300,large,3
34400,small,2
34400,medium,0
34400,large,3
34500,small,2
34500,medium,0
34500,large,3
34600,small,2
34600,medium,0
34600,large,3
34700,small,0
34700,medium,0
34700,large,0
34800,small,0
34800,medium,0
34800,large,0
34900,small,2
34900,medium,0
34900,large,3
35000,small,2
35000,medium,0
35000,large,3
35100,small,2
35100,medium,0
35100,large,3
35200,small,2
35200,medium,0
35200,large,3
35300,small,2
35300,medium,0
35300,large,3
35400,small,2
35400,medium,0
35400,large,3
