Time (MS),Core Type,Frequency
13200,small 1,930000
13200,small 2,930000
13200,small 3,930000
13200,small 4,0
13200,medium1,799000
13200,medium2,0
13200,large1,851000
13200,large2,0
13300,small 1,738000
13300,small 2,738000
13300,small 3,738000
13300,small 4,0
13300,medium1,1197000
13300,medium2,0
13300,large1,500000
13300,large2,500000
13400,small 1,930000
13400,small 2,930000
13400,small 3,0
13400,small 4,0
13400,medium1,799000
13400,medium2,0
13400,large1,1582000
13400,large2,0
13500,small 1,930000
13500,small 2,930000
13500,small 3,0
13500,small 4,0
13500,medium1,1663000
13500,medium2,0
13500,large1,500000
13500,large2,0
13600,small 1,930000
13600,small 2,930000
13600,small 3,0
13600,small 4,0
13600,medium1,799000
13600,medium2,0
13600,large1,1582000
13600,large2,0
13700,small 1,930000
13700,small 2,930000
13700,small 3,0
13700,small 4,0
13700,medium1,1663000
13700,medium2,0
13700,large1,500000
13700,large2,0
13800,small 1,300000
13800,small 2,300000
13800,small 3,300000
13800,small 4,0
13800,medium1,1836000
13800,medium2,0
13800,large1,500000
13800,large2,0
13900,small 1,1328000
13900,small 2,1328000
13900,small 3,1328000
13900,small 4,0
13900,medium1,2130000
13900,medium2,0
13900,large1,1106000
13900,large2,0
14000,small 1,1328000
14000,small 2,1328000
14000,small 3,1328000
14000,small 4,0
14000,medium1,2130000
14000,medium2,0
14000,large1,1106000
14000,large2,0
14100,small 1,930000
14100,small 2,930000
14100,small 3,930000
14100,small 4,0
14100,medium1,799000
14100,medium2,0
14100,large1,851000
14100,large2,0
14200,small 1,930000
14200,small 2,930000
14200,small 3,930000
14200,small 4,0
14200,medium1,799000
14200,medium2,0
14200,large1,851000
14200,large2,0
14300,small 1,930000
14300,small 2,930000
14300,small 3,930000
14300,small 4,0
14300,medium1,799000
14300,medium2,0
14300,large1,851000
14300,large2,0
14400,small 1,738000
14400,small 2,738000
14400,small 3,738000
14400,small 4,0
14400,medium1,910000
14400,medium2,910000
14400,large1,1106000
14400,large2,0
14500,small 1,930000
14500,small 2,930000
14500,small 3,0
14500,small 4,0
14500,medium1,799000
14500,medium2,0
14500,large1,1582000
14500,large2,0
14600,small 1,930000
14600,small 2,930000
14600,small 3,0
14600,small 4,0
14600,medium1,799000
14600,medium2,0
14600,large1,1582000
14600,large2,0
14700,small 1,930000
14700,small 2,930000
14700,small 3,0
14700,small 4,0
14700,medium1,799000
14700,medium2,0
14700,large1,1582000
14700,large2,0
14800,small 1,930000
14800,small 2,930000
14800,small 3,0
14800,small 4,0
14800,medium1,1663000
14800,medium2,0
14800,large1,500000
14800,large2,0
14900,small 1,300000
14900,small 2,300000
14900,small 3,300000
14900,small 4,0
14900,medium1,1836000
14900,medium2,0
14900,large1,500000
14900,large2,0
15000,small 1,1328000
15000,small 2,1328000
15000,small 3,1328000
15000,small 4,0
15000,medium1,2130000
15000,medium2,0
15000,large1,1106000
15000,large2,0
15100,small 1,1803000
15100,small 2,1803000
15100,small 3,1803000
15100,small 4,0
15100,medium1,553000
15100,medium2,0
15100,large1,2401000
15100,large2,0
15200,small 1,1803000
15200,small 2,1803000
15200,small 3,1803000
15200,small 4,0
15200,medium1,553000
15200,medium2,0
15200,large1,2401000
15200,large2,0
15300,small 1,930000
15300,small 2,930000
15300,small 3,930000
15300,small 4,0
15300,medium1,799000
15300,medium2,0
15300,large1,851000
15300,large2,0
15400,small 1,930000
15400,small 2,930000
15400,small 3,930000
15400,small 4,0
15400,medium1,799000
15400,medium2,0
15400,large1,851000
15400,large2,0
