Time (MS),Core Type,Frequency
17800,small,1803000.0
17800,medium, 1663000.0
17800,large, 2704000.0
17900,small,930000.0
17900,medium, 799000.0
17900,large, 851000.0
18000,small,930000.0
18000,medium, 799000.0
18000,large, 851000.0
18100,small,738000.0
18100,medium, 1197000.0
18100,large, 500000.0
18200,small,930000.0
18200,medium, 799000.0
18200,large, 1582000.0
18300,small,930000.0
18300,medium, 1663000.0
18300,large, 500000.0
18400,small,930000.0
18400,medium, 799000.0
18400,large, 1582000.0
18500,small,930000.0
18500,medium, 1663000.0
18500,large, 500000.0
18600,small,1328000.0
18600,medium, 2130000.0
18600,large, 1106000.0
18700,small,1803000.0
18700,medium, 553000.0
18700,large, 2401000.0
18800,small,1803000.0
18800,medium, 553000.0
18800,large, 2401000.0
18900,small,930000.0
18900,medium, 799000.0
18900,large, 851000.0
19000,small,930000.0
19000,medium, 799000.0
19000,large, 851000.0
19100,small,738000.0
19100,medium, 910000.0
19100,large, 1106000.0
19200,small,930000.0
19200,medium, 799000.0
19200,large, 1582000.0
19300,small,930000.0
19300,medium, 799000.0
19300,large, 1582000.0
19400,small,930000.0
19400,medium, 799000.0
19400,large, 1582000.0
19500,small,930000.0
19500,medium, 799000.0
19500,large, 1582000.0
19600,small,300000.0
19600,medium, 1836000.0
19600,large, 500000.0
19700,small,1328000.0
19700,medium, 2130000.0
19700,large, 1106000.0
19800,small,1803000.0
19800,medium, 553000.0
19800,large, 2401000.0
19900,small,1598000.0
19900,medium, 1663000.0
19900,large, 2507000.0
20000,small,930000.0
20000,medium, 799000.0
20000,large, 851000.0
20100,small,930000.0
20100,medium, 799000.0
20100,large, 851000.0
20200,small,738000.0
20200,medium, 1197000.0
20200,large, 500000.0
20300,small,930000.0
20300,medium, 799000.0
20300,large, 1582000.0
20400,small,930000.0
20400,medium, 1663000.0
20400,large, 500000.0
20500,small,930000.0
20500,medium, 799000.0
20500,large, 1582000.0
20600,small,930000.0
20600,medium, 1663000.0
20600,large, 500000.0
20700,small,300000.0
20700,medium, 1836000.0
20700,large, 500000.0
20800,small,1328000.0
20800,medium, 2130000.0
20800,large, 1106000.0
20900,small,1328000.0
20900,medium, 2130000.0
20900,large, 1106000.0
21000,small,1803000.0
21000,medium, 553000.0
21000,large, 2401000.0
21100,small,1803000.0
21100,medium, 1663000.0
21100,large, 2704000.0
21200,small,1803000.0
21200,medium, 1663000.0
21200,large, 2704000.0
21300,small,1803000.0
21300,medium, 1663000.0
21300,large, 2704000.0
21400,small,1803000.0
21400,medium, 1663000.0
21400,large, 2704000.0
21500,small,1803000.0
21500,medium, 1663000.0
21500,large, 2704000.0
21600,small,1803000.0
21600,medium, 1663000.0
21600,large, 2704000.0
21700,small,1803000.0
21700,medium, 1663000.0
21700,large, 2704000.0
21800,small,1803000.0
21800,medium, 1663000.0
21800,large, 2704000.0
21900,small,1803000.0
21900,medium, 1663000.0
21900,large, 2704000.0
22000,small,1803000.0
22000,medium, 1663000.0
22000,large, 2704000.0
22100,small,1803000.0
22100,medium, 1663000.0
22100,large, 2704000.0
22200,small,1803000.0
22200,medium, 1663000.0
22200,large, 2704000.0
22300,small,1803000.0
22300,medium, 1663000.0
22300,large, 2704000.0
22400,small,1803000.0
22400,medium, 1663000.0
22400,large, 2704000.0
22500,small,1803000.0
22500,medium, 553000.0
22500,large, 2401000.0
22600,small,1803000.0
22600,medium, 553000.0
22600,large, 2401000.0
22700,small,1598000.0
22700,medium, 1663000.0
22700,large, 2507000.0
22800,small,1803000.0
22800,medium, 1663000.0
22800,large, 2704000.0
22900,small,1803000.0
22900,medium, 1663000.0
22900,large, 2704000.0
23000,small,930000.0
23000,medium, 799000.0
23000,large, 851000.0
23100,small,930000.0
23100,medium, 799000.0
23100,large, 851000.0
23200,small,930000.0
23200,medium, 799000.0
23200,large, 851000.0
23300,small,738000.0
23300,medium, 910000.0
23300,large, 500000.0
23400,small,738000.0
23400,medium, 910000.0
23400,large, 1106000.0
23500,small,930000.0
23500,medium, 799000.0
23500,large, 1582000.0
23600,small,930000.0
23600,medium, 1663000.0
23600,large, 500000.0
23700,small,930000.0
23700,medium, 799000.0
23700,large, 1582000.0
23800,small,930000.0
